projectName,SHA,Files Before ref,RefactoringType,files After
commons-io,7245fbd82735eed3fc5510f8b468b77f1e984fb2,"src/main/java/org/apache/commons/io/serialization/ValidatingObjectInputStream.java",EXTRACT_CLASS,"src/main/java/org/apache/commons/io/serialization/ValidatingObjectInputStream.java; src/main/java/org/apache/commons/io/serialization/ValidatingObjectInputStream.java"
commons-io,f03363e242e1544f530f42b41ff06207c3770cdf,"src/main/java/org/apache/commons/io/input/CircularInputStream.java; src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java; src/main/java/org/apache/commons/io/input/NullInputStream.java; src/main/java/org/apache/commons/io/input/RandomAccessFileInputStream.java",EXTRACT_SUPERCLASS,"src/main/java/org/apache/commons/io/input/CircularInputStream.java; src/main/java/org/apache/commons/io/input/MemoryMappedFileInputStream.java; src/main/java/org/apache/commons/io/input/NullInputStream.java; src/main/java/org/apache/commons/io/input/RandomAccessFileInputStream.java; src/main/java/org/apache/commons/io/input/AbstractInputStream.java"
commons-io,812d8a4b53d9758b4f081d9b98a70ea9ef131a0e,"src/main/java/org/apache/commons/io/input/BoundedInputStream.java",EXTRACT_SUPERCLASS,"src/main/java/org/apache/commons/io/input/BoundedInputStream.java; src/main/java/org/apache/commons/io/input/BoundedInputStream.java"
commons-io,b21c2ac4009a31def29055468e05f290b1019bb5,"src/main/java/org/apache/commons/io/input/QueueInputStream.java",EXTRACT_SUPERCLASS,"src/main/java/org/apache/commons/io/input/QueueInputStream.java; src/main/java/org/apache/commons/io/input/AbstractBlockingQueueInputStream.java"
commons-io,b21c2ac4009a31def29055468e05f290b1019bb5,"src/test/java/org/apache/commons/io/input/QueueInputStreamTest.java",EXTRACT_SUPERCLASS,"src/test/java/org/apache/commons/io/input/QueueInputStreamTest.java; src/test/java/org/apache/commons/io/input/AbstractBlockingQueueInputStreamTest.java"
commons-io,7ecca22f175c644da3096940a4ce899be5b33740,"src/main/java/org/apache/commons/io/input/Tailer.java",EXTRACT_SUPERCLASS,"src/main/java/org/apache/commons/io/input/Tailer.java; src/main/java/org/apache/commons/io/build/AbstractStreamBuilder.java"
commons-io,a8c3027f993f5a9c9a82681a56fa6c1b1df4bcf3,"src/main/java/org/apache/commons/io/ThreadMonitor.java",EXTRACT_CLASS,"src/main/java/org/apache/commons/io/ThreadMonitor.java; src/main/java/org/apache/commons/io/ThreadUtils.java"
commons-io,62925e3084c9e72ae4659c00364a490252368326,"src/test/java/org/apache/commons/io/DeleteDirectoryTest.java; src/test/java/org/apache/commons/io/FileCleaningTrackerTest.java; src/test/java/org/apache/commons/io/FileUtilsCleanDirectoryTest.java; src/test/java/org/apache/commons/io/FileUtilsTest.java; src/test/java/org/apache/commons/io/file/PathUtilsDeleteDirectoryTest.java; src/test/java/org/apache/commons/io/file/PathUtilsDeleteTest.java; src/test/java/org/apache/commons/io/file/PathUtilsTest.java",EXTRACT_SUPERCLASS,"src/test/java/org/apache/commons/io/DeleteDirectoryTest.java; src/test/java/org/apache/commons/io/FileCleaningTrackerTest.java; src/test/java/org/apache/commons/io/FileUtilsCleanDirectoryTest.java; src/test/java/org/apache/commons/io/FileUtilsTest.java; src/test/java/org/apache/commons/io/file/PathUtilsDeleteDirectoryTest.java; src/test/java/org/apache/commons/io/file/PathUtilsDeleteTest.java; src/test/java/org/apache/commons/io/file/PathUtilsTest.java; src/test/java/org/apache/commons/io/file/AbstractTempDirTest.java"
commons-io,28103ed74bedf5ba971b54e25d599a2ff6b2b94f,"src/test/java/org/apache/commons/io/filefilter/FileFilterTestCase.java",EXTRACT_SUPERCLASS,"src/test/java/org/apache/commons/io/filefilter/FileFilterTestCase.java; src/test/java/org/apache/commons/io/filefilter/AbstractFilterTest.java"
commons-io,218b5e7b7d76654004f4122c674308f78c87954e,"src/main/java/org/apache/commons/io/input/Tailer.java",EXTRACT_CLASS,"src/main/java/org/apache/commons/io/input/Tailer.java; src/main/java/org/apache/commons/io/input/Tailer.java"
