projectName,SHA,Files Before ref,RefactoringType,files After
commons-rdf,aee8a63c67fb068631bd281415c7c53b8059f298,"commons-rdf-api/src/main/java/org/apache/commons/rdf/api/fluentparser/NeedSourceOrBase.java",EXTRACT_INTERFACE,"commons-rdf-api/src/main/java/org/apache/commons/rdf/api/fluentparser/NeedSourceOrBase.java; commons-rdf-api/src/main/java/org/apache/commons/rdf/api/fluentparser/_NeedSourceOrBase.java"
commons-rdf,aee8a63c67fb068631bd281415c7c53b8059f298,"commons-rdf-api/src/main/java/org/apache/commons/rdf/api/fluentparser/OptionalTarget.java; commons-rdf-api/src/main/java/org/apache/commons/rdf/api/fluentparser/OptionalTargetOrSyntax.java",EXTRACT_INTERFACE,"commons-rdf-api/src/main/java/org/apache/commons/rdf/api/fluentparser/OptionalTarget.java; commons-rdf-api/src/main/java/org/apache/commons/rdf/api/fluentparser/OptionalTargetOrSyntax.java; commons-rdf-api/src/main/java/org/apache/commons/rdf/api/fluentparser/_OptionalTarget.java"
commons-rdf,921965d431e6c7b192655df3f76680d4607235ec,"api/src/main/java/org/apache/commons/rdf/api/io/ParserFactory.java",EXTRACT_INTERFACE,"api/src/main/java/org/apache/commons/rdf/api/io/ParserFactory.java; api/src/main/java/org/apache/commons/rdf/api/fluentparser/OptionalTargetOrSyntax.java"
commons-rdf,921965d431e6c7b192655df3f76680d4607235ec,"api/src/main/java/org/apache/commons/rdf/api/io/ParserFactory.java",EXTRACT_INTERFACE,"api/src/main/java/org/apache/commons/rdf/api/io/ParserFactory.java; api/src/main/java/org/apache/commons/rdf/api/io/_SupportedSyntaxes.java"
commons-rdf,a11db68d6cb78be783cef91163bc1e952834350f,"simple/src/main/java/org/apache/commons/rdf/simple/experimental/State.java; simple/src/main/java/org/apache/commons/rdf/simple/experimental/State.java; simple/src/main/java/org/apache/commons/rdf/simple/experimental/State.java",EXTRACT_INTERFACE,"simple/src/main/java/org/apache/commons/rdf/simple/io/ParseJob.java; simple/src/main/java/org/apache/commons/rdf/simple/io/ParseJob.java; simple/src/main/java/org/apache/commons/rdf/simple/io/ParseJob.java; simple/src/main/java/org/apache/commons/rdf/simple/io/ParseJob.java"
commons-rdf,6e694fce7ee092a66c0b8599d3193567d1ad989b,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdQuad.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdQuadLike.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdTriple.java",EXTRACT_INTERFACE,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdQuad.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdQuadLike.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdTriple.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdTripleLike.java"
commons-rdf,b792b7b9dd9c92784e4bc7449dfb1f72daa60af0,"rdf4j/src/main/java/org/apache/commons/rdf/rdf4j/RDF4JBlankNode.java; rdf4j/src/main/java/org/apache/commons/rdf/rdf4j/RDF4JIRI.java",EXTRACT_INTERFACE,"rdf4j/src/main/java/org/apache/commons/rdf/rdf4j/RDF4JBlankNode.java; rdf4j/src/main/java/org/apache/commons/rdf/rdf4j/RDF4JIRI.java; rdf4j/src/main/java/org/apache/commons/rdf/rdf4j/RDF4JBlankNodeOrIRI.java"
commons-rdf,492ea2302fe8503a07fd2fbf1cf115234945e315,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdGraph.java",EXTRACT_CLASS,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdGraph.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdDataset.java"
commons-rdf,492ea2302fe8503a07fd2fbf1cf115234945e315,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdGraphLike.java",EXTRACT_CLASS,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdGraphLike.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdDataset.java"
commons-rdf,492ea2302fe8503a07fd2fbf1cf115234945e315,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdUnionGraph.java",EXTRACT_CLASS,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdUnionGraph.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdDataset.java"
commons-rdf,492ea2302fe8503a07fd2fbf1cf115234945e315,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdGraphLike.java",EXTRACT_CLASS,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdGraphLike.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdGraph.java"
commons-rdf,492ea2302fe8503a07fd2fbf1cf115234945e315,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdUnionGraph.java",EXTRACT_CLASS,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdUnionGraph.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdGraph.java"
commons-rdf,1330627e7d0c133b06dcc04c8581b11ba8ea7f2c,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdGraph.java",EXTRACT_SUPERCLASS,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdGraph.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdGraphLike.java"
commons-rdf,44031f3752ae41dd08e390ef180f851e9d62842e,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdQuad.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdTriple.java",EXTRACT_SUPERCLASS,"jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdQuad.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdTriple.java; jsonld-java/src/main/java/org/apache/commons/rdf/jsonldjava/JsonLdQuadLike.java"
commons-rdf,a3cb3b13a74aede64603dd651b5e549b89bc4a60,"jena/src/main/java/org/apache/commons/rdf/jena/JenaQuad.java",EXTRACT_INTERFACE,"jena/src/main/java/org/apache/commons/rdf/jena/JenaQuad.java; jena/src/main/java/org/apache/commons/rdf/jena/JenaQuadLike.java"
commons-rdf,a3cb3b13a74aede64603dd651b5e549b89bc4a60,"jena/src/main/java/org/apache/commons/rdf/jena/impl/QuadImpl.java; jena/src/main/java/org/apache/commons/rdf/jena/impl/TripleImpl.java",EXTRACT_SUPERCLASS,"jena/src/main/java/org/apache/commons/rdf/jena/impl/QuadImpl.java; jena/src/main/java/org/apache/commons/rdf/jena/impl/TripleImpl.java; jena/src/main/java/org/apache/commons/rdf/jena/impl/GeneralizedQuadImpl.java"
